chr	start	end	gene
chr1	0	170008	OR4F5
chr1	34901	239379	AL627309.1
chr1	267640	468634	OR4F29
chr1	521059	722053	OR4F16
chr1	638532	839137	AL669831.1
chr1	718043	919983	AL645608.2
chr1	760260	979955	SAMD11
chr1	761264	966445	AL645608.1
chr1	779584	994689	NOC2L
chr1	795967	1001095	KLHL17
chr1	801877	1011245	PLEKHN1
chr1	810579	1017497	C1orf170
chr1	834342	1035552	HES4
chr1	848803	1049920	ISG15
chr1	855503	1091496	AGRN
chr1	906346	1109687	RNF223
chr1	917198	1151741	C1orf159
chr1	1009264	1233315	TTLL10
chr1	1038888	1242071	TNFRSF18
chr1	1046706	1249518	TNFRSF4
chr1	1052288	1267411	SDF4
chr1	1067629	1270421	B3GALT6
chr1	1077826	1282102	FAM132A
chr1	1089289	1309265	UBE2J2
chr1	1115816	1327409	SCNN1D
chr1	1127756	1344989	ACAP3
chr1	1143947	1347057	PUSL1
chr1	1146965	1360071	CPSF3L
chr1	1160136	1364277	GLTPD1
chr1	1166694	1370686	TAS1R3
chr1	1170656	1384730	DVL1
chr1	1188069	1397157	MXRA8
chr1	1209110	1410875	AURKAIP1
chr1	1221091	1434708	CCNL2
chr1	1234902	1437426	RP4-758J18.2
chr1	1237288	1442693	MRPL20
chr1	1253800	1457149	ANKRD65
chr1	1261508	1463167	TMEM88B
chr1	1270241	1478262	VWA1
chr1	1285069	1505538	ATAD3C
chr1	1307143	1533228	ATAD3B
chr1	1347531	1570067	ATAD3A
chr1	1370554	1575833	TMEM240
chr1	1377053	1610249	SSU72
chr1	1410355	1611373	AL645728.1
chr1	1433392	1635476	C1orf233
chr1	1450795	1665990	MIB2
chr1	1467474	1670639	MMP23B
chr1	1470603	1690473	CDK11B
chr1	1492939	1724167	SLC35E2B
chr1	1534169	1755766	CDK11A
chr1	1556277	1777431	SLC35E2
chr1	1582671	1811896	NADK
chr1	1616729	1922495	GNB1
chr1	1746266	1948735	CALML6
chr1	1749029	1950712	TMEM52
chr1	1753396	2035276	C1orf222
chr1	1850780	2062192	GABRD
chr1	1881909	2216834	PRKCZ
chr1	2015903	2244159	C1orf86
chr1	2021237	2223179	AL590822.2
chr1	2043360	2245620	AL590822.1
chr1	2060134	2341558	SKI
chr1	2152692	2423146	MORN1
chr1	2158581	2359042	AL589739.1
chr1	2223267	2436883	RER1
chr1	2236236	2445236	PEX10
chr1	2257419	2536969	PLCH2
chr1	2339972	2558039	PANK4
chr1	2360184	2561684	HES5
chr1	2387078	2596821	TNFRSF14
chr1	2417930	2622908	FAM213B
chr1	2422078	2664481	MMEL1
chr1	2467415	2818286	TTC34
chr1	2838046	3039465	ACTRT2
chr1	2885732	3455185	PRDM16
chr1	3270990	3497677	ARHGEF16
chr1	3306484	3628059	MEGF6
chr1	3441566	3646691	TPRG1L
chr1	3447331	3669325	WRAP73
chr1	3469084	3752765	TP73
chr1	3568962	3788209	CCDC27
chr1	3589352	3792546	SMIM1
chr1	3596784	3813068	LRRC47
chr1	3628645	3873778	CEP104
chr1	3673845	3901993	DFFB
chr1	3705689	3916857	C1orf174
chr1	4614792	4952594	AJAP1
chr1	5822871	6152533	NPHP4
chr1	5951526	6261253	KCNAB2
chr1	6000630	6201399	AL035406.1
chr1	6061853	6340183	CHD5
chr1	6141329	6369449	RPL22
chr1	6165535	6381359	RNF207
chr1	6181253	6396032	ICMT
chr1	6204252	6405638	HES3
chr1	6207406	6421035	GPR153
chr1	6224329	6554451	ACOT7
chr1	6372478	6584730	HES2
chr1	6384848	6621430	ESPN
chr1	6421211	6626255	TNFRSF25
chr1	6426152	6680121	PLEKHG5
chr1	6481407	6714595	NOL9
chr1	6515241	6739817	TAS1R1
chr1	6540061	6749340	ZBTB48
chr1	6550784	6774667	KLHL21
chr1	6573745	6784093	PHF13
chr1	6584926	6795646	THAP3
chr1	6594228	6861984	DNAJC11
chr1	6745384	7929766	CAMTA1
chr1	7731329	7941492	VAMP3
chr1	7744380	8005237	PER3
chr1	7803143	8013572	UTS2
chr1	7879907	8100926	TNFRSF9
chr1	7914351	8145565	PARK7
chr1	7964464	8186368	ERRFI1
chr1	8277886	8504227	SLC45A1
chr1	8312457	8977702	RERE
chr1	8821061	9039308	ENO1
chr1	8905926	9135151	CA6
chr1	8963359	9186404	SLC2A7
chr1	8995166	9248537	SLC2A5
chr1	9060364	9289229	GPR157
chr1	9194834	9431396	H6PD
chr1	9252939	9529591	SPSB1
chr1	9499541	9745237	SLC25A33
chr1	9548932	9774935	TMEM201
chr1	9611790	9889172	PIK3CD
chr1	9612668	9814644	C1orf200
chr1	9689084	9984584	CLSTN1
chr1	9808334	10070394	CTNNBIP1
chr1	9882173	10103465	LZIC
chr1	9903486	10145559	NMNAT1
chr1	9957264	10176078	RBP7
chr1	9992890	10341297	UBE4B
chr1	10170863	10541661	KIF1B
chr1	10358649	10580201	PGD
chr1	10390159	10612210	APITD1
chr1	10390159	10612210	APITD1-CORT
chr1	10409776	10611959	CORT
chr1	10416579	10632583	DFFA
chr1	10432345	10790815	PEX14
chr1	10596661	10956707	CASZ1
chr1	10906528	11142094	C1orf127
chr1	10972414	11185796	TARDBP
chr1	10986580	11207290	MASP2
chr1	11014641	11220081	SRM
chr1	11026675	11259938	EXOSC10
chr1	11066592	11422564	MTOR
chr1	11149398	11356038	ANGPTL7
chr1	11233263	11456106	UBIAD1
chr1	11439223	11697641	PTCHD2
chr1	11608424	11815842	FBXO2
chr1	11614432	11823384	FBXO44
chr1	11624181	11834411	FBXO6
chr1	11634537	11851707	MAD2L2
chr1	11651786	11885914	DRAXIN
chr1	11696141	11914859	AGTRAP
chr1	11721844	11949642	C1orf167
chr1	11745780	11966977	MTHFR
chr1	11766207	12003201	CLCN6
chr1	11805766	12008402	NPPA
chr1	11817521	12018988	NPPB
chr1	11879648	12086485	KIAA2013
chr1	11894262	12135595	PLOD1
chr1	11940238	12173571	MFN2
chr1	11979523	12192102	MIIP
chr1	12023434	12304264	TNFRSF8
chr1	12127060	12369285	TNFRSF1B
chr1	12190124	12672099	VPS13D
chr1	12527939	12777737	DHRS3
chr1	12604566	12827097	AADACL4
chr1	12676118	12888726	AADACL3
chr1	12706163	12923847	C1orf158
chr1	12734984	12938049	PRAMEF12
chr1	12751546	12956777	PRAMEF1
chr1	12784468	12991264	PRAMEF11
chr1	12807261	13008578	HNRNPCL1
chr1	12816941	13021764	PRAMEF2
chr1	12839045	13046025	PRAMEF4
chr1	12852727	13058101	PRAMEF10
chr1	12876450	13080569	PRAMEF7
chr1	12898181	13217751	PRAMEF6
chr1	12935543	13138381	PRAMEF22
chr1	12952394	13152998	WI2-3308P17.2
chr1	13116356	13319581	PRAMEF26
chr1	13228196	13431692	PRAMEF3
chr1	13259819	13469057	PRAMEF5
chr1	13286646	13490765	PRAMEF8
chr1	13321176	13528191	PRAMEF9
chr1	13347414	13552656	PRAMEF13
chr1	13374689	13577522	PRAMEF18
chr1	13395254	13598260	PRAMEF16
chr1	13416066	13626943	PRAMEF21
chr1	13541973	13748988	PRAMEF15
chr1	13568269	13773511	PRAMEF14
chr1	13594889	13798405	PRAMEF19
chr1	13616092	13819089	PRAMEF17
chr1	13636907	13847803	PRAMEF20
chr1	13701445	13940543	LRRC38
chr1	13809960	14044452	PDPN
chr1	13926693	14251574	PRDM2
chr1	14825200	15544539	KAZN
chr1	15379028	15646976	TMEM51
chr1	15390840	15597813	C1orf195
chr1	15473768	15826779	FHAD1
chr1	15636391	15856839	EFHD2
chr1	15664935	15875737	CTRC
chr1	15683223	15898586	CELA2A
chr1	15692404	15917895	CELA2B
chr1	15717327	15953029	CASP9
chr1	15753308	16018874	DNAJC16
chr1	15798848	16011605	AGMAT
chr1	15843995	16095539	DDI2
chr1	15886364	16088217	RSC1A1
chr1	15910827	16161264	PLEKHM2
chr1	15962900	16167891	SLC25A34
chr1	15968917	16174477	TMEM82
chr1	15983102	16213089	FBLIM1
chr1	16074359	16366955	SPEN
chr1	16168364	16402627	ZBTB17
chr1	16230731	16435302	C1orf64
chr1	16240523	16446089	HSPB7
chr1	16245370	16460545	CLCNKA
chr1	16270272	16483803	CLCNKB
chr1	16284264	16500127	FAM131C
chr1	16350832	16582582	EPHA2
chr1	16424349	16639104	ARHGEF19
chr1	16455368	16656038	C1orf134
chr1	16458195	16663657	RSG1
chr1	16473334	16778949	FBXO42
chr1	16579070	16824640	SZRD1
chr1	16613612	16863919	SPATA21
chr1	16667167	16886573	NECAP2
chr1	16765561	16966070	FAM231B
chr1	16788814	17040057	NBPF1
chr1	16899498	17100007	FAM231A
chr1	16960447	17160956	FAM231C
chr1	16966768	17399474	CROCC
chr1	17200997	17407330	MFAP2
chr1	17212453	17438423	ATP13A2
chr1	17245217	17480665	SDHB
chr1	17293256	17545948	PADI2
chr1	17431621	17672500	PADI1
chr1	17475593	17710728	PADI3
chr1	17534690	17790499	PADI4
chr1	17555507	17776070	AC004824.2
chr1	17633256	17866220	RCC2
chr1	17766330	18124369	ARHGEF10L
chr1	17981808	18253558	ACTL8
chr1	18334240	18804977	IGSF21
chr1	18707424	18912478	KLHDC7A
chr1	18857500	19175360	PAX7
chr1	19066093	19286176	TAS1R2
chr1	19075767	19347615	RP13-279N23.2
chr1	19097926	19329275	ALDH4A1
chr1	19130775	19383180	IFFO2
chr1	19301000	19636770	UBR4
chr1	19442158	19678046	EMC1
chr1	19478033	19686622	MRTO4
chr1	19509052	19715744	AKR7A3
chr1	19530459	19738640	AKR7A2
chr1	19538820	19755794	PQLC2
chr1	19565267	19912066	CAPZB
chr1	19823473	20084549	MINOS1-NBL1
chr1	19823477	20056314	MINOS1
chr1	19867048	20084945	NBL1
chr1	19891780	20106055	HTR6
chr1	19908706	20226438	TMCO4
chr1	20040523	20241771	RNF186
chr1	20109006	20339438	OTUD3
chr1	20146502	20350110	PLA2G2E
chr1	20201925	20406932	PLA2G2A
chr1	20254672	20517683	PLA2G5
chr1	20338432	20546050	PLA2G2D
chr1	20365819	20576879	PLA2G2F
chr1	20387746	20603917	PLA2G2C
chr1	20412578	20622541	UBXN10
chr1	20517412	20781387	VWA5B1
chr1	20708884	20912713	CAMK2N1
chr1	20725943	20934654	MUL1
chr1	20778932	20981512	FAM43B
chr1	20815441	21045401	CDA
chr1	20859948	21078004	PINK1
chr1	20878270	21088000	DDOST
chr1	20890507	21144510	KIF17
chr1	20946225	21159330	SH2D5
chr1	20969154	21213816	HP1BP3
chr1	21032963	21603377	EIF4G3
chr1	21443740	21771997	ECE1
chr1	21666621	21911498	NBPF3
chr1	21735858	22004905	ALPL
chr1	21822708	22095801	RAP1GAP
chr1	21904791	22210099	USP48
chr1	22038758	22251714	LDLRAD2
chr1	22048738	22363790	HSPG2
chr1	22203514	22425135	CELA3B
chr1	22228149	22439032	CELA3A
chr1	22279120	22519437	CDC42
chr1	22343798	22570462	WNT4
chr1	22678344	22957650	ZBTB40
chr1	22790057	23030087	EPHA8
chr1	22862999	23066101	C1QA
chr1	22870123	23074603	C1QC
chr1	22879255	23088031	C1QB
chr1	22937332	23341818	EPHB2
chr1	23179536	23391831	LACTBL1
chr1	23237327	23442343	C1orf234
chr1	23245941	23510182	KDM1A
chr1	23310516	23604301	LUZP1
chr1	23416993	23621222	HTR1D
chr1	23530264	23770829	HNRNPR
chr1	23585941	23795935	ZNF436
chr1	23595490	23798332	C1orf213
chr1	23607554	23851233	TCEA3
chr1	23655056	23911061	ASAP3
chr1	23732922	23957712	E2F2
chr1	23784409	23986285	ID3
chr1	23807985	24067058	MDS2
chr1	23918269	24122915	RPL11
chr1	23969645	24188549	TCEB3
chr1	24004895	24214722	PITHD1
chr1	24017460	24222029	LYPLA2
chr1	24022089	24227271	GALE
chr1	24028375	24265110	HMGCL
chr1	24071567	24294784	FUCA1
chr1	24097016	24385549	CNR2
chr1	24185599	24389952	PNRC2
chr1	24191294	24407417	SRSF10
chr1	24282525	24538665	MYOM3
chr1	24346261	24569611	IL22RA1
chr1	24380647	24614449	IFNLR1
chr1	24545812	24790972	GRHL3
chr1	24583489	24843424	STPG1
chr1	24642284	24899466	NIPAL3
chr1	24729387	24967530	RCAN3
chr1	24782602	25035819	NCMAP
chr1	24858207	25099758	SRRM1
chr1	24971848	25270815	CLIC4
chr1	25126002	25391612	RUNX3
chr1	25449170	25658993	SYF2
chr1	25468728	25764704	C1orf63
chr1	25498884	25756936	RHD
chr1	25564408	25788852	TMEM50A
chr1	25588740	25856683	RHCE
chr1	25657388	25926700	TMEM57
chr1	25770071	25995377	LDLRAP1
chr1	25843959	26212698	MAN1C1
chr1	26026667	26244713	SEPN1
chr1	26037961	26250235	RP1-317E23.6
chr1	26045131	26259432	MTFR1L
chr1	26045212	26247288	AL020996.1
chr1	26058414	26285903	AUNIP
chr1	26087701	26297744	PAQR7
chr1	26110672	26333482	STMN1
chr1	26186258	26424648	PAFAH2
chr1	26246375	26462955	EXTL1
chr1	26263743	26472624	SLC30A2
chr1	26277795	26494927	TRIM63
chr1	26337664	26552034	PDIK1L
chr1	26385511	26589119	FAM110D
chr1	26396362	26598551	ZNF593
chr1	26403894	26616377	CNKSR1
chr1	26417052	26629459	CATSPER4
chr1	26460691	26705299	CEP85
chr1	26505667	26708007	SH3BGRL3
chr1	26507819	26744854	UBXN11
chr1	26544448	26747014	CD52
chr1	26548350	26780621	AIM1L
chr1	26588125	26801013	ZNF683
chr1	26637269	26856213	LIN28A
chr1	26658773	26897785	DHDDS
chr1	26698941	26902463	HMGN2
chr1	26756252	27001521	RPS6KA1
chr1	26922524	27208595	ARID1A
chr1	27013963	27224889	PIGV
chr1	27053201	27284093	ZDHHC18
chr1	27089633	27290947	SFN
chr1	27102624	27316788	GPN2
chr1	27116979	27326957	GPATCH3
chr1	27126729	27373353	NUDC
chr1	27137980	27340457	NR0B2
chr1	27176053	27386897	C1orf172
chr1	27220198	27427389	TRNP1
chr1	27231511	27439327	FAM46B
chr1	27325306	27593472	SLC9A1
chr1	27461007	27735110	WDTC1
chr1	27548651	27762891	TMEM222
chr1	27568513	27780421	SYTL1
chr1	27581675	27793383	MAP3K6
chr1	27595603	27801315	FCN3
chr1	27605666	27809870	CD164L2
chr1	27619148	27822318	GPR3
chr1	27630730	27916669	WASF2
chr1	27760546	28030942	AHDC1
chr1	27838575	28061788	FGR
chr1	27892572	28098729	IFI6
chr1	27952490	28189633	FAM76A
chr1	27999694	28250963	STX12
chr1	28057289	28278187	PPP1R8
chr1	28077085	28277255	AL109927.1
chr1	28099055	28313196	THEMIS2
chr1	28118035	28341257	RPA2
chr1	28161504	28385668	SMPDL3B
chr1	28185973	28394607	XKR8
chr1	28196855	28515207	EYA3
chr1	28373677	28620447	PTAFR
chr1	28425967	28659536	DNAJC8
chr1	28427013	28627152	AL353354.1
chr1	28427070	28627419	AL353354.2
chr1	28462620	28673417	ATPIF1
chr1	28486038	28709002	SESN2
chr1	28555513	28762476	MED18
chr1	28596114	28926881	PHACTR4
chr1	28732455	28965812	RCC1
chr1	28779597	29005051	TRNAU1AP
chr1	28815835	29069597	TAF12
chr1	28818712	29021955	RAB42
chr1	28895244	29145865	GMEB1
chr1	28963133	29196287	YTHDF2
chr1	29038654	29290208	OPRD1
chr1	29113603	29546553	EPB41
chr1	29345940	29550447	TMEM200B
chr1	29374255	29608499	SRSF4
chr1	29419385	29657454	MECR
chr1	29463028	29753325	PTPRU
chr1	31084124	31296434	MATN1
chr1	31105316	31330667	LAPTM5
chr1	31242314	31481608	SDC3
chr1	31304353	31638838	PUM1
chr1	31552592	31812401	NKAIN1
chr1	31632417	31869662	SNRNP40
chr1	31669842	31937783	ZCCHC17
chr1	31738472	31949697	FABP3
chr1	31782412	32007525	SERINC2
chr1	31802192	32002614	AC114494.1
chr1	31942116	32153288	TINAGL1
chr1	31983287	32198119	HCRTR1
chr1	31995463	32210497	PEF1
chr1	32017848	32269920	COL16A1
chr1	32092718	32330494	BAI2
chr1	32156023	32381652	SPOCD1
chr1	32272022	32510457	PTP4A2
chr1	32279174	32480745	AL136115.1
chr1	32379430	32626451	KHDRBS1
chr1	32437632	32668467	TMEM39B
chr1	32473639	32742169	KPNA6
chr1	32545287	32763886	TXLNA
chr1	32565987	32770988	CCDC28B
chr1	32571236	32774288	IQCC
chr1	32574695	32781797	DCDC2B
chr1	32580073	32787972	TMEM234
chr1	32587529	32797205	EIF3I
chr1	32612834	32814457	FAM167B
chr1	32616840	32851766	LCK
chr1	32657687	32899236	HDAC1
chr1	32699433	32901980	MARCKSL1
chr1	32717122	32929913	TSSK3
chr1	32726871	32929879	FAM229A
chr1	32730704	32960332	BSDC1
chr1	32830658	33166393	RP1-27O5.3
chr1	32830670	33062287	ZBTB8B
chr1	32905028	33171540	ZBTB8A
chr1	32965773	33216504	ZBTB8OS
chr1	33016743	33251812	RBBP4
chr1	33045507	33269197	SYNC
chr1	33107486	33340571	KIAA1522
chr1	33140840	33383754	YARS
chr1	33182368	33424476	S100PBP
chr1	33227869	33438083	FNDC5
chr1	33251595	33464042	HPCA
chr1	33260195	33467039	TMEM54
chr1	33302046	33530286	RNF19B
chr1	33339268	33539642	FKSG48
chr1	33373585	33646597	AK2
chr1	33446705	33686131	ADC
chr1	33511003	33747660	TRIM62
chr1	33622146	33866320	ZNF362
chr1	33672367	33886699	A3GALT2
chr1	33689224	33996653	PHC2
chr1	33838246	34062107	ZSCAN20
chr1	33879609	34731443	CSMD2
chr1	34226076	34430392	HMGB4
chr1	34532484	34784732	C1orf94
chr1	35078338	35425417	SMIM12
chr1	35120648	35324113	GJB5
chr1	35125342	35329325	GJB4
chr1	35146790	35351970	GJB3
chr1	35158599	35361348	GJA4
chr1	35231037	35495186	DLGAP3
chr1	35347134	35597342	RP11-244H3.4
chr1	35347136	35550954	ZMYM6NB
chr1	35349523	35597569	ZMYM6
chr1	35425387	35681460	ZMYM1
chr1	35541979	35758749	SFPQ
chr1	35634568	35987659	ZMYM4
chr1	35799091	36123551	KIAA0319L
chr1	35923074	36132875	NCDN
chr1	35938971	36160929	TFAP2E
chr1	35967185	36207445	PSMB2
chr1	36079476	36285073	C1orf216
chr1	36085819	36335568	CLSPN
chr1	36173773	36423491	AGO4
chr1	36235409	36495211	AGO1
chr1	36296319	36638101	AGO3
chr1	36449676	36653876	TEKT2
chr1	36454476	36659533	ADPRHL2
chr1	36460837	36690821	COL8A2
chr1	36502173	36715098	TRAPPC3
